Last Name,First Name,Email,Partner Id,Sub Class,Eligibility Status,Eligibility Date
Hayes,Lily,baidya6006+test08@gmail.com,9196942,GNT,E,2023-10-04
Jones,Olivia,baidya6006+test14@gmail.com,7654321,GNT,E,2023-10-04
Williams,Sophia,baidya6006+test12@gmail.com,8765432,GNT,E,2023-10-04
Dixon,Jackson,baidya6006+test09@gmail.com,1070788,GNT,E,2023-10-04
Butler,Elijah,baidya6006+test07@gmail.com,8202877,GNT,E,2023-10-04
Brown,Ethan,baidya6006+test13@gmail.com,2345678,GNT,E,2023-10-04
Johnson,Emily,baidya6006+test10@gmail.com,9876543,GNT,E,2023-10-04
Davis,Liam,baidya6006+test15@gmail.com,3456789,GNT,E,2023-10-05
Smith,Jacob,baidya6006+test11@gmail.com,1234567,GNT,E,2023-10-04
Foster,Scarlett,baidya6006+test04@gmail.com,5069386,GNT,E,2023-10-06
Mitchell,Zoe,baidya6006+test06@gmail.com,7090379,GNT,E,2023-10-06
Perry,Lucas,baidya6006+test05@gmail.com,6078654,GNT,E,2023-10-06
Wilson,Benjamin,baidya6006+test17@gmail.com,4567890,GNT,I,2023-10-06
Miller,Ava,baidya6006+test16@gmail.com,6543210,GNT,I,2023-10-06
Moore,Mia,baidya6006+test18@gmail.com,5432109,GNT,E,2023-10-06
Taylor,Charlotte,baidya6006+test20@gmail.com,9282301,GNT,E,2023-10-06
Anderson,William,baidya6006+test19@gmail.com,5678901,GNT,E,2023-10-06
